date,fold_id,strategy_return,benchmark_return,active_return,strategy_nav,benchmark_nav,portfolio_position,portfolio_turnover,portfolio_transaction_cost,portfolio_boundary_cost_adjustment,trade_event_count,stock_count,strategy_drawdown,benchmark_drawdown
2022-11-24,2,-0.0005614311598849397,0.00030920410580992375,-0.0008706352656948635,0.8237548249526101,0.6738617032997614,0.32402206256730337,0.0,0.0,0.0,0,5,-0.19679449374570757,-0.3385641318008028
2022-11-25,2,0.021086675214167405,0.023724159501807174,-0.0026374842876397686,0.8411250754024892,0.6898485058310044,0.4692628851685936,0.1456205508700422,7.28102754350211e-05,0.0,1,5,-0.17985756010509235,-0.3228721217634287
2022-11-28,2,-0.011954177856929982,-0.015683226529375816,0.003729048672445834,0.8310701166512041,0.6790294554431053,0.4802232487069846,0.0,0.0,0.0,0,5,-0.18966168869961264,-0.3334916716671684
2022-11-29,2,0.04557982690834539,0.06991239727437737,-0.02433257036603198,0.8689501487168645,0.7265020324930479,0.47393456898019104,0.0,0.0,0.0,0,5,-0.15272660873333999,-0.2868944766300824
2022-11-30,2,-0.000596044803096718,0.0032881347952951057,-0.0038841795983918237,0.8684322154965717,0.7288908691049409,0.4968672716502942,0.0,0.0,0.0,0,5,-0.1532316216350066,-0.2845496895459726
2022-12-01,2,0.004063367605593227,0.01573616707250025,-0.011672799466907025,0.871960974828674,0.7403608175987962,0.49656720314802244,0.0,0.0,0.0,0,5,-0.14979089043691762,-0.2732912439285957
2022-12-02,2,-0.010752291940665404,-0.014309406171504224,0.0035571142308388204,0.8625853958664489,0.7297666939463081,0.4986045571480986,0.0,0.0,0.0,0,5,-0.15893258699355306,-0.2836900146876101
2022-12-05,2,0.024813596047342124,0.026651469774699343,-0.0018378737273572199,0.8839892414358156,0.7492160489326004,0.6978769978108705,0.20472218811767257,0.00010236109405883629,0.0,1,5,-0.1380626799586281,-0.2645993007647416
2022-12-06,2,0.002663528198783238,0.008289781450367517,-0.005626253251584279,0.8863437717078009,0.7554268862373595,0.7051922385159567,0.0,0.0,0.0,0,5,-0.13576688560111416,-0.2585029896896338
2022-12-07,2,-0.012132775208217317,-0.003027786454434689,-0.009104988753782628,0.8755899619684666,0.7531396149438943,0.7059753813787909,0.0,0.0,0.0,0,5,-0.14625243170561353,-0.2607480842934554
2022-12-08,2,0.010847307580392096,0.014890385403564022,-0.0040430778231719255,0.8850877556002423,0.7643541540731007,0.7023642335302882,0.0,0.0,0.0,0,5,-0.1369915692363125,-0.24974033835826193
2022-12-09,2,0.025064533505454456,0.030144982244169727,-0.005080448738715271,0.9072720673057522,0.7873955964758916,0.7055581350044395,0.0,0.0,0.0,0,5,-0.11536066550794633,-0.22712377417955498
2022-12-12,2,-0.02553409031320797,-0.027062683776825414,0.0015285934636174447,0.8841057004005162,0.7660865584411998,1.0,0.28724227145840847,0.00014362113572920424,0.0,1,5,-0.13794912616948263,-0.24803987907755998
2022-12-13,2,-0.0014123766322424736,-0.0006663421727074459,-0.0007460344595350277,0.8828570101688381,0.765576082659366,1.0,0.0,0.0,0.0,0,5,-0.13916666667948507,-0.24854094181832476
2022-12-14,2,0.002644274029336202,0.0018035882797040603,0.0008406857496321418,0.885191526032445,0.7669568667092722,1.0,0.0,0.0,0.0,0,5,-0.13689038745259874,-0.24718561906831094
2022-12-15,2,0.01122602728448574,0.00906980027161608,0.0021562270128696603,0.8951287102556809,0.7739130123072697,1.0,0.0,0.0,0.0,0,5,-0.12720109539263957,-0.24035774299166024
2022-12-16,2,0.004906151980246243,0.0059122380378875405,-0.0010060860576412978,0.8995203477500769,0.778488570256649,1.0,0.0,0.0,0.0,0,5,-0.12291901131844352,-0.2358665571445887
2022-12-19,2,-0.006674477096006437,-0.006743220861218813,6.874376521237568e-05,0.8935165197916273,0.7732390498894739,1.0,0.0,0.0,0.0,0,5,-0.12877306828874124,-0.24101927771720633
2022-12-20,2,-0.027071893647592327,-0.02750896490779886,0.0004370712602065341,0.8693273355954615,0.7519680440007246,1.0,0.0,0.0,0.0,0,5,-0.1523588311269467,-0.2618980517721795
2022-12-21,2,0.0037469902198492555,0.003816396370891706,-6.94061510424504e-05,0.8725846966197853,0.7548378521148755,1.0,0.0,0.0,0.0,0,5,-0.14918272795723775,-0.2590811621756147
2022-12-22,2,0.004181031500229304,0.004384812114338388,-0.00020378061410908366,0.8762330007229707,0.75814767427319,1.0,0.0,0.0,0.0,0,5,-0.14562543414188778,-0.25583237227978095
2022-12-23,2,-0.0021307821661217252,-0.0015858685604311917,-0.0005449136056905335,0.8743659390716629,0.7569453517123961,1.0,0.0,0.0,0.0,0,5,-0.14744592023000613,-0.257012524324273
