date,symbol,open,high,low,close,volume,amount,turnover,asset_return,fast_ma,slow_ma,signal,position,position_change,gross_strategy_return,transaction_cost,strategy_return,strategy_nav,benchmark_nav,strategy_rolling_max,strategy_drawdown,source_position_change,source_transaction_cost,fold_id,test_start,test_end,selected_fast_window,selected_slow_window,selected_ma_param,is_fold_start,is_parameter_switch,boundary_cost_adjustment,stock_strategy_nav,stock_benchmark_nav
2023-03-23,000001,10.41,10.58,10.35,10.58,80430604.0,1029380497.0,0.0041447223418765,0.008579599618684375,10.940999999999999,11.382833333333332,0.0,0.0,0.0,0.0,0.0,0.0,1.8294505550041338,1.2918192918192892,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5428424833247817
2023-03-24,000001,10.53,10.54,10.46,10.51,62151875.0,796319542.0,0.0032027891385973,-0.006616257088846944,10.8985,11.381,0.0,0.0,0.0,-0.0,0.0,-0.0,1.8294505550041338,1.2832722832722807,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5392508978963568
2023-03-27,000001,10.49,10.5,10.21,10.33,100842214.0,1266945056.0,0.005196566438443,-0.01712654614652709,10.854,11.375833333333333,0.0,0.0,0.0,-0.0,0.0,-0.0,1.8294505550041338,1.2612942612942588,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5300153925089787
2023-03-28,000001,10.38,10.44,10.29,10.36,67386843.0,851797869.0,0.003472555716859,0.0029041626331074433,10.807,11.373999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.8294505550041338,1.2649572649572625,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.531554643406875
2023-03-29,000001,10.44,10.44,10.25,10.27,59606433.0,750687551.0,0.0030716182931396,-0.008687258687258725,10.7395,11.365999999999998,0.0,0.0,0.0,-0.0,0.0,-0.0,1.8294505550041338,1.2539682539682515,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5269368907131858
2023-03-30,000001,10.29,10.42,10.17,10.39,82454624.0,1035422932.0,0.0042490234473911,0.011684518013632017,10.675500000000001,11.359666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.8294505550041338,1.2686202686202663,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5330938943047713
2023-03-31,000001,10.4,10.47,10.26,10.27,86549166.0,1092263437.0,0.0044600219835597,-0.011549566891241647,10.6035,11.352833333333333,0.0,0.0,0.0,-0.0,0.0,-0.0,1.8294505550041338,1.2539682539682515,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5269368907131858
2023-04-03,000001,10.29,10.4,10.21,10.39,74042886.0,934285179.0,0.0038155526453739,0.011684518013632017,10.5555,11.346166666666669,0.0,0.0,0.0,0.0,0.0,0.0,1.8294505550041338,1.2686202686202663,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5330938943047713
2023-04-04,000001,10.36,10.43,10.32,10.37,64745722.0,817726527.0,0.0033364543739386,-0.0019249278152070337,10.513000000000002,11.330833333333334,0.0,0.0,0.0,-0.0,0.0,-0.0,1.8294505550041338,1.2661782661782637,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.532067727039507
2023-04-06,000001,10.33,10.34,10.25,10.31,56332130.0,706480660.0,0.0029028880322283,-0.005785920925747257,10.474,11.306999999999999,0.0,0.0,0.0,-0.0,0.0,-0.0,1.8294505550041338,1.2588522588522564,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5289892252437144
